"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON, MA US","2016-01-29","7.38",,"0.00","0.0","36","41","33","  300","  290","18.1","28.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-01-30","13.65",,"0.00","0.0","36","43","30","  220","  260","25.9","32.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-01-31","11.86",,"0.00","0.0","43","57","38","  230","  230","25.1","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-01","13.87",,"0.00","0.0","49","65","39","  270","  270","25.9","33.1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-02","6.93",,"0.00","0.0","44","50","36","  330","  300","13.0","17.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-03","14.54",,"0.33","0.0","42","57","35","  160","  160","38.9","46.1","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-02-04","10.51",,"0.01","0.0","54","56","43","  290","  280","18.1","23.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-02-05","13.42",,"0.96","6.8","37","43","25","   10","   10","25.1","36.9","    1","    1",,,,,"    1",
"USW00014739","BOSTON, MA US","2016-02-06","10.51",,"0.00","0.0","29","35","24","  210","  320","18.1","23.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-07","9.84",,"0.00","0.0","34","44","29","   60","   60","25.9","31.1",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-08","21.25",,"0.53","6.4","29","38","18","   30","   30","38.0","46.1","    1","    1",,,,,,
"USW00014739","BOSTON, MA US","2016-02-09","6.26",,"0.00","0.1","23","29","20","  350","  360","16.1","19.9","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-02-10","6.71",,"0.00","0.1","28","36","20","  260","  250","18.1","23.0","    1",,,,,,"    1",
"USW00014739","BOSTON, MA US","2016-02-11","16.78",,"0.01","0.2","28","31","11","  270","  270","29.1","38.9",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-12","11.63",,"0.00","0.0","15","24","8","  290","  300","23.0","30.0",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-13","16.33",,"0.00","0.0","20","24","-4","  290","  300","32.0","42.9",,,,,,,,
"USW00014739","BOSTON, MA US","2016-02-14","17.22",,"0.00","0.0","0","12","-9","  290","  290","29.1","38.0","    1",,,,,,,
"USW00014739","BOSTON, MA US","2016-02-15","6.26",,"0.26","1.3","11","35","4","  280","  120","15.0","19.9","    1",,,"    1","    1",,"    1",
"USW00014739","BOSTON, MA US","2016-02-16","14.32",,"0.66","0.0","40","54","31","  180","  160","33.1","47.0","    1",,,,,"    1",,
"USW00014739","BOSTON, MA US","2016-02-17","10.74",,"0.00","0.0","42","46","34","  270","  280","23.9","31.1",,,,,,,,
